,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 0.1.1,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8,ipo
39,39,889,889,889,DLR,Digital Realty Trust Inc,106.05,16860000000.0,2004.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/dlr,,0
40,40,1862,1862,1862,MGM,MGM Resorts International,28.5,16340000000.0,,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/mgm,,0
41,41,2448,2448,2448,RCI,Rogers Communication Inc,40.15,16160000000.0,,Consumer Services,Television Services,http://www.nasdaq.com/symbol/rci,,0
42,42,2388,2388,2388,O,Realty Income Corp,60.26,15580000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/o,,0
43,43,1101,1101,1101,ESS,Essex Property Trust Inc,231.11,15140000000.0,1994.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ess,,0
44,44,3013,3013,3013,GWW,WW Grainger Inc,245.83,14640000000.0,,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/gww,,0
45,45,1398,1398,1398,HCP,HCP Inc,30.33,14190000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/hcp,,0
46,46,387,387,387,BBY,Best Buy Co,43.54,13660000000.0,,Consumer Services,Consumer Electronics/Video Chains,http://www.nasdaq.com/symbol/bby,,0
47,47,1450,1450,1450,HST,Host Hotels & Resorts Inc,18.24,13500000000.0,,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/hst,,0
48,48,620,620,620,GIB,CGI Group Inc,47.71,12790000000.0,,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/gib,,0
49,49,1360,1360,1360,TV,Grupo Televisa,21.61,12610000000.0,1993.0,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/tv,,0
50,50,29,29,29,AAP,Advance Auto Parts Inc,167.78,12360000000.0,,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/aap,,0
51,51,658,658,658,CMG,Chipotle Mexican Grill,407.72,11800000000.0,2006.0,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/cmg,,0
52,52,2422,2422,2422,QSR,Restaurant Brands International Inc,48.4,11340000000.0,2014.0,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/qsr,,0
53,53,2564,2564,2564,SLG,SL Green Realty Corp,109.61,11110000000.0,1997.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/slg,,0
54,54,1864,1864,1864,MAA,Mid-America Apartment Communities Inc,95.94,10890000000.0,1994.0,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/maa,,0
